@c -0.094055891514
@x1 0.945636219786
@x0 0.00071483488326
@z 0.0718637577746
@t0 58398.447786
time band flux fluxerr zp zpsys
58405.4480637 smi 966.810302686 134.446619557 26.4295519146 ab
58406.4480637 smi 707.511055341 2142.59420643 25.8062249947 ab
58408.4480637 smi -61.2646124079 1176.73327564 25.9490277504 ab
58410.4480637 smi -1481.84655101 1189.69772127 26.059421844 ab
58411.4480637 smi 895.559197689 150.8800998 27.0508055201 ab
58413.4480637 smi -115.785561085 2176.60698729 26.7034605313 ab
58414.4480637 smi 392.14198032 947.226544502 25.4828829722 ab
58415.4480637 smi 2788.29295644 1945.03748629 25.1290614733 ab
58416.4480637 smi 69.2365805074 988.142620209 26.440110475 ab
58418.4480637 smi 3921.9666952 2318.14100028 27.3096766689 ab
58419.4480637 smi 1032.74503378 722.235620647 27.0497314189 ab
58421.4480637 smi 3599.63444307 2039.48036601 26.2708555311 ab
58422.4480637 smi -1125.99359792 1273.51376291 27.05994134 ab
58423.4480637 smi 20.8989097781 7033.59968748 27.4074327434 ab
58425.4480637 smi 2982.86985874 6681.31554937 26.1163321019 ab
58426.4480637 smi 2224.32751085 4011.44704173 26.7400314325 ab
58427.4480637 smi -97.0545069823 1182.26943683 25.8831652464 ab
58429.4480637 smi -7919.91052075 4206.83678448 25.0344341854 ab
58431.4480637 smi 488.555800028 491.303736575 25.623193871 ab
58432.4480637 smi 1040.26805263 1258.4576699 26.4881953269 ab
58434.4480637 smi -272.147896842 1155.47497782 25.7268375051 ab
58435.4480637 smi 1019.84729897 1245.59766189 26.0385158652 ab
58436.4480637 smi 872.656974601 810.474865069 25.8998863598 ab
58438.4480637 smi 1480.42237627 403.525011084 27.3322749722 ab
58440.4480637 smi -3493.68360611 3383.28852878 26.599441325 ab
58442.4480637 smi 1904.2069726 491.215701993 27.1182773679 ab
58443.4480637 smi 378.84897999 546.485256945 26.5911587636 ab
58444.4480637 smi 315.524015461 851.468654573 25.9416149431 ab
58445.4480637 smi 523.278472884 753.028053124 27.6437842919 ab
58447.4480637 smi -1119.94834011 860.36892901 26.6508383159 ab
58449.4480637 smi 463.588929413 476.648721669 26.8104220006 ab
58381.447786 kst 37.9866471938 6.02231400897 25.47 ab
58381.697786 kst 36.6029097008 6.51160501868 25.47 ab
58381.947786 kst 47.3249661004 7.01509755395 25.47 ab
58382.197786 kst 49.7783263442 7.52206967921 25.47 ab
58382.447786 kst 91.708182466 8.02539425042 25.47 ab
58382.697786 kst 62.6134751228 8.53186918707 25.47 ab
58382.947786 kst 75.3607137707 9.03979389325 25.47 ab
58383.197786 kst 98.6405001518 9.54420685532 25.47 ab
58383.447786 kst 102.81193018 10.0411463225 25.47 ab
58383.697786 kst 111.830671403 10.5358631125 25.47 ab
58383.947786 kst 117.741846384 11.0295609027 25.47 ab
58384.197786 kst 138.525246116 11.5151390988 25.47 ab
58384.447786 kst 158.161860793 11.9866366532 25.47 ab
58384.697786 kst 153.027590129 12.4440337855 25.47 ab
58384.947786 kst 174.409497 12.8950689281 25.47 ab
58385.197786 kst 198.08642967 13.3350940435 25.47 ab
58385.447786 kst 184.129552841 13.7594542221 25.47 ab
58385.697786 kst 171.388351249 14.1647256192 25.47 ab
58385.947786 kst 206.25763766 14.5545978565 25.47 ab
58386.197786 kst 234.688044103 14.9322058709 25.47 ab
58386.447786 kst 197.063145739 15.2996653633 25.47 ab
58386.697786 kst 262.323639397 15.6588299749 25.47 ab
58386.947786 kst 267.403441412 16.009439699 25.47 ab
58387.197786 kst 264.886744119 16.3519655091 25.47 ab
58387.447786 kst 266.818975741 16.6878279929 25.47 ab
58387.697786 kst 327.140826791 17.0183265377 25.47 ab
58387.947786 kst 354.467208556 17.3438430864 25.47 ab
58388.197786 kst 301.491528922 17.664044068 25.47 ab
58388.447786 kst 321.730038992 17.9797045571 25.47 ab
58388.697786 kst 337.126053806 18.291557277 25.47 ab
58388.947786 kst 345.590767071 18.6012801863 25.47 ab
58389.197786 kst 375.784898606 18.9112790018 25.47 ab
58389.447786 kst 350.108910675 19.2170145478 25.47 ab
58389.697786 kst 375.997421655 19.5136024043 25.47 ab
58389.947786 kst 401.586335378 19.79695183 25.47 ab
58390.197786 kst 386.443620742 20.0712573501 25.47 ab
58390.447786 kst 409.634910972 20.3367096052 25.47 ab
58390.697786 kst 445.048506375 20.5909724782 25.47 ab
58390.947786 kst 439.105380984 20.8318084715 25.47 ab
58391.197786 kst 416.968923814 21.0597728516 25.47 ab
58391.447786 kst 480.72038526 21.2765838512 25.47 ab
58391.697786 kst 459.03085774 21.48197505 25.47 ab
58391.947786 kst 472.373048241 21.6756723533 25.47 ab
58392.197786 kst 476.306965596 21.8579227794 25.47 ab
58392.447786 kst 522.195304552 22.0296888879 25.47 ab
58392.697786 kst 470.517042396 22.190442067 25.47 ab
58392.947786 kst 518.344637804 22.339575012 25.47 ab
58393.197786 kst 510.207470889 22.476458277 25.47 ab
58393.447786 kst 472.08142272 22.6010160226 25.47 ab
58393.697786 kst 491.549186915 22.7144983428 25.47 ab
58393.947786 kst 486.810855519 22.8182531411 25.47 ab
58394.197786 kst 519.131823163 22.9135257452 25.47 ab
58394.447786 kst 486.474228365 22.9983796541 25.47 ab
58394.697786 kst 516.874464566 23.0735457188 25.47 ab
58394.947786 kst 561.489475584 23.1419969731 25.47 ab
58395.197786 kst 528.419024051 23.2066634432 25.47 ab
58395.447786 kst 568.122987516 23.2687552225 25.47 ab
58395.697786 kst 541.181242611 23.3265080902 25.47 ab
58395.947786 kst 525.003020699 23.3795862171 25.47 ab
58396.197786 kst 576.654114838 23.4276867263 25.47 ab
58396.447786 kst 539.568259565 23.4706523618 25.47 ab
58396.697786 kst 561.521016553 23.5088585833 25.47 ab
58396.947786 kst 512.093759968 23.542130101 25.47 ab
58397.197786 kst 508.089745028 23.5702117088 25.47 ab
58397.447786 kst 580.523237145 23.5928425984 25.47 ab
58397.697786 kst 569.217723487 23.6098838949 25.47 ab
58397.947786 kst 537.161415383 23.6216494501 25.47 ab
58398.197786 kst 559.584312245 23.6285256307 25.47 ab
58398.447786 kst 499.391755099 23.6308951523 25.47 ab
58398.697786 kst 572.82768536 23.6285792907 25.47 ab
58398.947786 kst 565.454112882 23.6214180211 25.47 ab
58399.197786 kst 555.165701265 23.6098179673 25.47 ab
58399.447786 kst 544.93907707 23.5941838878 25.47 ab
58399.697786 kst 534.921742401 23.5746827285 25.47 ab
58399.947786 kst 565.681464751 23.5509588657 25.47 ab
58400.197786 kst 565.096635762 23.5231708258 25.47 ab
58400.447786 kst 540.86078245 23.4915115405 25.47 ab
58400.697786 kst 550.705259673 23.4561174498 25.47 ab
58400.947786 kst 557.110892483 23.4167267844 25.47 ab
58401.197786 kst 503.354540011 23.3734414369 25.47 ab
58401.447786 kst 510.139666831 23.3264651605 25.47 ab
58401.697786 kst 554.293061232 23.2760033788 25.47 ab
58401.947786 kst 505.161608962 23.2222493583 25.47 ab
58402.197786 kst 534.910870284 23.164945009 25.47 ab
58402.447786 kst 525.385179694 23.1036791496 25.47 ab
58402.697786 kst 508.602744892 23.0380343153 25.47 ab
58402.947786 kst 508.61167437 22.9677632178 25.47 ab
58403.197786 kst 521.203572838 22.8930513238 25.47 ab
58403.447786 kst 506.072060753 22.8140098646 25.47 ab
58403.697786 kst 527.748208246 22.7307455693 25.47 ab
58403.947786 kst 517.579978733 22.6432707058 25.47 ab
58404.197786 kst 524.102010408 22.5512975828 25.47 ab
58404.447786 kst 512.291835356 22.4549899598 25.47 ab
58404.697786 kst 461.711184569 22.3545731415 25.47 ab
58404.947786 kst 467.957819663 22.250248276 25.47 ab
58405.197786 kst 511.91763463 22.1417388106 25.47 ab
58405.447786 kst 514.608797651 22.0290010033 25.47 ab
58405.697786 kst 499.591209005 21.9121614899 25.47 ab
58405.947786 kst 459.179715238 21.7913472579 25.47 ab
58406.197786 kst 465.923221466 21.6654765148 25.47 ab
58406.447786 kst 466.676326269 21.5345379639 25.47 ab
58406.697786 kst 429.903529583 21.400405975 25.47 ab
58406.947786 kst 462.189079352 21.2650002739 25.47 ab
58407.197786 kst 452.340409414 21.1291479148 25.47 ab
58407.447786 kst 410.949514821 20.9910982671 25.47 ab
58407.697786 kst 457.634980646 20.8517450409 25.47 ab
58407.947786 kst 468.917269083 20.7122054014 25.47 ab
58408.197786 kst 415.246125059 20.5734957937 25.47 ab
58408.447786 kst 414.981193297 20.4351889573 25.47 ab
58408.697786 kst 401.576354785 20.2968939138 25.47 ab
58408.947786 kst 406.132184599 20.1583994915 25.47 ab
58409.197786 kst 410.290580698 20.0194933216 25.47 ab
58409.447786 kst 391.097858387 19.8803179716 25.47 ab
58409.697786 kst 386.876829434 19.7408921954 25.47 ab
58409.947786 kst 376.035266346 19.6010060471 25.47 ab
58410.197786 kst 375.3387222 19.4604435189 25.47 ab
58410.447786 kst 379.390648646 19.3190553638 25.47 ab
58410.697786 kst 382.715192451 19.176937537 25.47 ab
58410.947786 kst 369.348931552 19.0342042595 25.47 ab
58411.197786 kst 346.104026229 18.8909718399 25.47 ab
58411.447786 kst 333.72346415 18.7469339907 25.47 ab
58411.697786 kst 324.418660335 18.6008761547 25.47 ab
58411.947786 kst 331.154310965 18.4545154408 25.47 ab
58412.197786 kst 338.894878862 18.3099818458 25.47 ab
58412.447786 kst 339.463443436 18.1693357525 25.47 ab
58412.697786 kst 327.73658004 18.031631366 25.47 ab
58412.947786 kst 309.985816211 17.8965197038 25.47 ab
58413.197786 kst 275.100587544 17.7645878805 25.47 ab
58413.447786 kst 327.886737438 17.6364390507 25.47 ab
58413.697786 kst 306.618433601 17.5121160056 25.47 ab
58413.947786 kst 300.85266899 17.3914115495 25.47 ab
58414.197786 kst 293.978285215 17.2746494395 25.47 ab
58414.447786 kst 299.550338797 17.162160006 25.47 ab
58414.697786 kst 291.256380891 17.0540864118 25.47 ab
58414.947786 kst 277.859164049 16.9502187139 25.47 ab
58415.197786 kst 289.478844133 16.850928471 25.47 ab
58415.447786 kst 275.70743836 16.7566341013 25.47 ab
58415.697786 kst 265.716108459 16.6679637892 25.47 ab
58415.947786 kst 263.990454492 16.5863513795 25.47 ab
58416.197786 kst 231.931543703 16.5101296283 25.47 ab
58416.447786 kst 245.74799799 16.436965169 25.47 ab
58416.697786 kst 284.86131243 16.3645171115 25.47 ab
58416.947786 kst 247.806688392 16.2940235535 25.47 ab
58417.197786 kst 261.428896536 16.2260749162 25.47 ab
58417.447786 kst 259.453381031 16.1590738789 25.47 ab
58417.697786 kst 260.972737168 16.0913960034 25.47 ab
58417.947786 kst 206.637176117 16.0222882546 25.47 ab
58418.197786 kst 263.394092653 15.952783024 25.47 ab
58418.447786 kst 250.398455291 15.8830503481 25.47 ab
58418.697786 kst 234.98224731 15.8132318734 25.47 ab
58418.947786 kst 214.984605475 15.743406386 25.47 ab
58419.197786 kst 243.425927921 15.6733919204 25.47 ab
58419.447786 kst 231.480464811 15.6033119065 25.47 ab
58419.697786 kst 252.630150446 15.5333417479 25.47 ab
58419.947786 kst 263.591178757 15.4636178577 25.47 ab
58420.197786 kst 255.16969296 15.3935580053 25.47 ab
58420.447786 kst 250.85827056 15.3235236006 25.47 ab
58420.697786 kst 220.65112184 15.2543224195 25.47 ab
58420.947786 kst 222.268384302 15.1867768698 25.47 ab
58421.197786 kst 237.790614081 15.1208499294 25.47 ab
58421.447786 kst 241.953251922 15.0561094679 25.47 ab
58421.697786 kst 207.812861033 14.9929855917 25.47 ab
58421.947786 kst 229.196291088 14.9319164185 25.47 ab
58422.197786 kst 219.202266532 14.8732083769 25.47 ab
58422.447786 kst 233.288314752 14.8166422131 25.47 ab
58422.697786 kst 224.000602407 14.762144746 25.47 ab
58422.947786 kst 198.163133425 14.7096641799 25.47 ab
58423.197786 kst 215.731361799 14.6591694518 25.47 ab
58423.447786 kst 203.231465614 14.6108045478 25.47 ab
58423.697786 kst 249.210999408 14.5645118168 25.47 ab
58423.947786 kst 226.688934778 14.5201722244 25.47 ab
58424.197786 kst 204.718234444 14.4776733298 25.47 ab
58424.447786 kst 192.380564038 14.4377266654 25.47 ab
58424.697786 kst 179.666453553 14.4000842109 25.47 ab
58424.947786 kst 197.119150704 14.3636563842 25.47 ab
58425.197786 kst 218.019936096 14.3273419453 25.47 ab
58425.447786 kst 204.944954752 14.2913646099 25.47 ab
58425.697786 kst 209.457977028 14.2568423288 25.47 ab
58425.947786 kst 228.662531434 14.2220001016 25.47 ab
58426.197786 kst 209.393727494 14.184970381 25.47 ab
58426.447786 kst 205.689811376 14.1442418634 25.47 ab
58426.697786 kst 202.516665749 14.1007662613 25.47 ab
58426.947786 kst 183.793441371 14.0549726868 25.47 ab
58427.197786 kst 194.100366668 14.0070654421 25.47 ab
58427.447786 kst 185.651383801 13.9572321019 25.47 ab
58427.697786 kst 207.064303616 13.9052358516 25.47 ab
58427.947786 kst 177.842383983 13.8510911154 25.47 ab
58428.197786 kst 196.629564719 13.7950018596 25.47 ab
58428.447786 kst 186.465283395 13.7371744951 25.47 ab
58428.697786 kst 193.679898788 13.6775468648 25.47 ab
58428.947786 kst 167.799522242 13.6159633616 25.47 ab
58429.197786 kst 185.843927388 13.5525744448 25.47 ab
58429.447786 kst 173.576545402 13.4875333356 25.47 ab
58429.697786 kst 180.662757865 13.4208919643 25.47 ab
58429.947786 kst 187.688954501 13.3524485243 25.47 ab
58430.197786 kst 180.104926863 13.2822944768 25.47 ab
58430.447786 kst 171.042945753 13.210548857 25.47 ab
58430.697786 kst 160.522436596 13.1372285905 25.47 ab
58430.947786 kst 183.728088502 13.0616245168 25.47 ab
58431.197786 kst 169.075414013 12.9843180561 25.47 ab
58431.447786 kst 159.172013603 12.9062478084 25.47 ab
58431.697786 kst 170.670917226 12.8283660246 25.47 ab
58431.947786 kst 171.240149899 12.7502666326 25.47 ab
58432.197786 kst 153.967484081 12.6716521527 25.47 ab
58432.447786 kst 167.539854895 12.5931137547 25.47 ab
58432.697786 kst 158.357255004 12.5152574258 25.47 ab
58432.947786 kst 150.195984493 12.438398226 25.47 ab
58433.197786 kst 158.020120421 12.3621668408 25.47 ab
58433.447786 kst 170.018140685 12.2864916871 25.47 ab
58433.697786 kst 137.207241431 12.2113139326 25.47 ab
58433.947786 kst 126.273843036 12.1365969909 25.47 ab
58434.197786 kst 139.47776329 12.0624209575 25.47 ab
58434.447786 kst 119.67631744 11.9887616082 25.47 ab
58434.697786 kst 137.054232101 11.9155730081 25.47 ab
58434.947786 kst 161.753409664 11.8428116998 25.47 ab
58435.197786 kst 135.507143052 11.7705297282 25.47 ab
58435.447786 kst 126.784370243 11.6987338992 25.47 ab
58435.697786 kst 128.462699248 11.6273887552 25.47 ab
58435.947786 kst 135.163467808 11.5564579073 25.47 ab
58436.197786 kst 141.078180164 11.4859559682 25.47 ab
58436.447786 kst 121.651870178 11.4159177715 25.47 ab
58436.697786 kst 122.869878151 11.3463163874 25.47 ab
58436.947786 kst 137.516181666 11.2771239518 25.47 ab
58437.197786 kst 120.321285701 11.2083318685 25.47 ab
58437.447786 kst 130.569676119 11.1399835408 25.47 ab
58437.697786 kst 94.1719611272 11.0720638643 25.47 ab
58437.947786 kst 104.630020452 11.0045516433 25.47 ab
58438.197786 kst 137.919044964 10.9374250455 25.47 ab
58438.447786 kst 105.880919354 10.8706812235 25.47 ab
58438.697786 kst 122.797515217 10.8043585937 25.47 ab
58438.947786 kst 114.894121698 10.7385011273 25.47 ab
58439.197786 kst 94.1004683161 10.6731520259 25.47 ab
58439.447786 kst 132.759453403 10.6080765814 25.47 ab
58439.697786 kst 107.740658372 10.5433667802 25.47 ab
58439.947786 kst 125.666707561 10.4794343954 25.47 ab
58440.197786 kst 114.956540957 10.4167011798 25.47 ab
58440.447786 kst 105.954578647 10.3553795122 25.47 ab
58440.697786 kst 105.494436534 10.2952198736 25.47 ab
58440.947786 kst 112.308155233 10.2362389815 25.47 ab
58441.197786 kst 107.830886097 10.1784664211 25.47 ab
58441.447786 kst 88.1070941271 10.1219433607 25.47 ab
58441.697786 kst 98.8086877038 10.0667331359 25.47 ab
58441.947786 kst 90.408112344 10.0127887959 25.47 ab
58442.197786 kst 95.6750360945 9.96004665518 25.47 ab
58442.447786 kst 93.2535500352 9.90844665853 25.47 ab
58442.697786 kst 101.097383147 9.85808167144 25.47 ab
58442.947786 kst 88.3326978639 9.80896250625 25.47 ab
58443.197786 kst 85.2852886611 9.76102593043 25.47 ab
58443.447786 kst 88.7238910638 9.71420701562 25.47 ab
58443.697786 kst 99.1107149279 9.66853927341 25.47 ab
58443.947786 kst 76.8138776281 9.62409085995 25.47 ab
58444.197786 kst 107.97757855 9.58079913066 25.47 ab
58444.447786 kst 114.567699835 9.53859923902 25.47 ab
58444.697786 kst 93.2325892693 9.49747135108 25.47 ab
58444.947786 kst 106.096346381 9.45751658418 25.47 ab
58445.197786 kst 87.4226579901 9.41868612094 25.47 ab
58445.447786 kst 108.820341892 9.38091499767 25.47 ab
58445.697786 kst 92.2596518584 9.34415062189 25.47 ab
58445.947786 kst 85.4032148364 9.30848904759 25.47 ab
58446.197786 kst 86.2944990824 9.27391295814 25.47 ab
58446.447786 kst 82.162963046 9.24035730179 25.47 ab
58446.697786 kst 85.888253888 9.20775617717 25.47 ab
58446.947786 kst 106.800063636 9.17616482754 25.47 ab
58447.197786 kst 79.7837826453 9.14561396733 25.47 ab
58447.447786 kst 84.6641134174 9.11603866645 25.47 ab
58447.697786 kst 75.2114262569 9.08737282097 25.47 ab
58447.947786 kst 89.5471082557 9.05961360845 25.47 ab
58448.197786 kst 78.3941237798 9.03283892727 25.47 ab
58448.447786 kst 80.320508942 9.00698957924 25.47 ab
58448.697786 kst 79.0433950119 8.98200006452 25.47 ab
58448.947786 kst 73.0042985485 8.95782865075 25.47 ab
58449.197786 kst 87.8489273864 8.93456459154 25.47 ab
58449.447786 kst 86.4896008952 8.91217105073 25.47 ab
58449.697786 kst 76.7994428459 8.8905835902 25.47 ab
58449.947786 kst 78.5181511181 8.86974097361 25.47 ab
58450.197786 kst 73.729875515 8.84970967934 25.47 ab
58450.447786 kst 64.2725377641 8.83049037847 25.47 ab
58450.697786 kst 88.0686429293 8.81202022572 25.47 ab
58450.947786 kst 73.1486355706 8.79423564527 25.47 ab
58451.197786 kst 76.5511246855 8.77828215474 25.47 ab
58451.447786 kst 68.3916411204 8.76243451573 25.47 ab
58451.697786 kst 71.5478008095 8.74655816287 25.47 ab
58451.947786 kst 79.0213557137 8.73065293954 25.47 ab
58452.197786 kst -0.119875060732 0.1 25.47 ab
58452.447786 kst 0.0960844624632 0.1 25.47 ab
58452.697786 kst -0.0930875823073 0.1 25.47 ab
58452.947786 kst 0.0282680788992 0.1 25.47 ab
58453.197786 kst 0.198657821903 0.1 25.47 ab
58453.447786 kst -0.0235338636623 0.1 25.47 ab
58453.697786 kst -0.0769345506635 0.1 25.47 ab
58453.947786 kst 0.00461769584794 0.1 25.47 ab
58454.197786 kst 0.151080577574 0.1 25.47 ab
58454.447786 kst -0.110554889983 0.1 25.47 ab
58454.697786 kst -0.0117823785937 0.1 25.47 ab
58454.947786 kst -0.0230471767239 0.1 25.47 ab
58455.197786 kst 0.129036357507 0.1 25.47 ab
58455.447786 kst 0.170855015868 0.1 25.47 ab
58455.697786 kst 0.156243291569 0.1 25.47 ab
58455.947786 kst -0.0295173639638 0.1 25.47 ab
58456.197786 kst 0.0509174762916 0.1 25.47 ab
58456.447786 kst 0.191577674547 0.1 25.47 ab
58456.697786 kst -0.146698082827 0.1 25.47 ab
58456.947786 kst 0.120060110754 0.1 25.47 ab
58457.197786 kst -0.0968551006717 0.1 25.47 ab
58457.447786 kst 0.109694852019 0.1 25.47 ab
58457.697786 kst 0.0666828994102 0.1 25.47 ab
58457.947786 kst 0.0456478838978 0.1 25.47 ab
58458.197786 kst 0.0175116507722 0.1 25.47 ab
58458.447786 kst -0.0264555002474 0.1 25.47 ab
58458.697786 kst -0.0674404788875 0.1 25.47 ab
58458.947786 kst 0.101085238576 0.1 25.47 ab
58459.197786 kst 0.0379700175021 0.1 25.47 ab
58459.447786 kst -0.106183803693 0.1 25.47 ab
58459.697786 kst 0.0441120051119 0.1 25.47 ab
58459.947786 kst 0.0954780671127 0.1 25.47 ab
58460.197786 kst 0.168916778073 0.1 25.47 ab
58460.447786 kst -0.00877340602818 0.1 25.47 ab
58460.697786 kst -0.207095418978 0.1 25.47 ab
58460.947786 kst -0.0177132470186 0.1 25.47 ab
58461.197786 kst -0.104871788363 0.1 25.47 ab
58461.447786 kst -0.0386725858626 0.1 25.47 ab
58461.697786 kst -0.226531681257 0.1 25.47 ab
58461.947786 kst 0.125605002151 0.1 25.47 ab
58462.197786 kst 0.0103625934483 0.1 25.47 ab
